No Weight
Ch.#,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
19,11/27/2020,10:51:05 AM,"",0.031952,0.034237,0.077254,0.15724,0.16848,0.18053,0.23242,0.41456,0.44421,0.47597,1.1264,1.2296,2.3196,4.6275,5.2295,8.2848,8.9576,10.029,9.3035,8.1911,7.5895,5.5987,3.6812,3.0716,1.855,2.1104,1.4897,1.0264,0.63251,0.79408,0.84059,0.27195,0.2914,0.2804,0.0090176,0.3585,0.421,0.28369,0.34944,0.9452,0.9313,0.18521,0.58142,0.40277,0.7091,0.54182,0.1787,0.89351,0.3574,0.1787,0,0,0.53611,0,0.1787,0,0.3574,0.1787,0.53611,0.1787,0.3574,0.1787,0.3574,0,0,0,0.1787,0.14723,0.21017,0.1787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,11/27/2020,10:51:15 AM,"",0.063819,0.068384,0.19482,0.43183,0.46272,0.49581,0.49235,0.36226,0.38817,0.41593,1.6152,1.7738,2.9502,5.4047,5.8897,7.2846,8.0782,10.119,9.299,8.0618,7.3339,5.8528,4.2311,3.2238,1.9678,1.3784,0.62728,1.0301,0.91365,0.40333,0.20377,0.14282,0.11255,0.10156,0.17847,7.1257E-16,0.28889,0.60345,0.17449,0.36091,0.51973,0.63897,0.090568,0.041476,0.30975,0.89804,0.17847,0.33119,0.38268,0.010162,0.16831,0.17847,0.2251,0.17063,0.49661,0.29581,0.23959,0.35693,0.5354,0,0,0.17847,0.5354,0,0,0,0.17847,0,0,0,0,0.35693,0.17847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,11/27/2020,10:51:25 AM,"",0.063318,0.067846,0.1129,0.19475,0.20867,0.2236,0.31683,0.66748,0.71522,0.76637,1.9815,2.1659,2.9747,4.5851,5.1653,8.0304,8.8911,11.064,10.834,10.351,7.0909,4.6452,2.8361,3.1711,2.7416,1.557,1.129,2.0339,1.0648,0.80031,0.45365,0.26946,0.21243,0.24018,0.29102,0.17707,0.35413,0,0.35018,0.75553,0.2145,0.53765,0.75316,0.57615,0.5312,0.35413,0.70826,0.17707,0.70826,0.18715,0.69818,0.5312,0.17707,0.35413,0.17707,0.5312,0.5312,0.35413,0.39148,0.49385,0.35413,0.17707,0.70826,0.17707,0.17707,0.35413,0.17707,0.17707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,11/27/2020,10:51:35 AM,"",0.031952,0.034237,0.13134,0.31447,0.33696,0.36106,0.43561,0.67365,0.72183,0.77346,1.63,1.7761,3.003,5.5687,6.1805,8.7351,9.3758,10.133,9.5689,8.666,7.1483,6.6567,5.3776,2.9795,2.1485,1.751,1.1804,1.2855,0.789,0.55722,0.3289,0.4009,0.2914,0.10169,0.18772,0.34839,0.36298,0.88794,0.70286,0.59178,0.47669,0.63982,0.49069,0.49351,0,0.3574,0.1787,0.1787,0.1787,0,0.3574,0.1787,0.1787,0.53611,0,0.53611,0.3574,0.1787,0.1787,0.1787,0,0.53611,0.3574,5.5643E-15,0,0,0.1787,0.1787,0,0.1787,0,0.1787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,11/27/2020,10:51:45 AM,"",0.16589,0.17776,0.21856,0.28573,0.30617,0.32807,0.40212,0.64572,0.6919,0.74138,2.0105,2.199,3.1938,5.2125,5.807,8.416,8.8678,8.6965,9.051,9.3686,8.3124,6.3176,4.0209,2.5331,2.231,1.7708,0.42608,0.53289,0.42726,0.26011,0.4228,0.1339,0.18557,0.21864,0.53299,0.19721,0.38839,0.42743,0.27657,0.85775,0.44121,0.37113,0.50959,0.46137,0.32801,0.36572,0.37655,0.74226,0.37113,0.18557,0.13194,0.42475,0,0.18557,0.5567,0.37113,0.18557,0.74226,0.59584,0.46919,0.23394,0.18557,0.18557,0,0,0,0,0.18557,0,0,0,0,0,0,0.37113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,11/27/2020,10:51:55 AM,"",0.031952,0.034237,0.090776,0.19655,0.2106,0.22566,0.23206,0.20728,0.2221,0.23799,1.3028,1.4345,2.4904,4.7059,5.3053,8.2848,8.9415,9.9258,10.533,11.159,7.6821,5.386,3.258,2.375,1.7187,2.4583,1.758,1.5873,0.12585,0.46009,0.66188,0.27195,0.4701,0.2804,0.37544,0.87547,0.21556,0.14185,0.35342,0.11519,0.4092,0.5518,0.62407,0.13227,0.13717,0.35219,0.36262,0.1787,0.31813,0.75408,0,0.31622,0.21989,0.1787,0.47729,0.89112,0.41861,0,0,0.3574,0.18241,0.3537,0.3574,0.53611,0,0,0,0.1787,0.26622,0.091182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,11/27/2020,10:52:05 AM,"",0.12764,0.13677,0.14655,0.15703,0.16826,0.18029,0.23211,0.41401,0.44362,0.47535,1.3711,1.5009,2.3893,4.2298,4.7373,7.1048,7.8534,9.7062,9.474,9.0102,7.1643,5.3518,3.8508,3.6498,2.2188,2.902,0.87001,1.3315,0.44152,1.0857,0.65785,0.67196,0.32666,0.4903,0.33414,0.23008,1.3671,0.090948,0.79343,0.83289,0.6028,0.087899,0.22373,0.22378,0.70246,0.18988,0.71387,0.17847,0.67465,0.21769,0.17847,0.17847,0.35693,0.5354,0.5354,0.17847,0.7523,0.49697,0.21611,0.49776,0.17847,0,0,0.35693,0,0,0,0,0,0,0,0,0,0,0.17847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,11/27/2020,10:52:15 AM,"",0.12697,0.13605,0.17265,0.23431,0.25106,0.26902,0.35602,0.66923,0.7171,0.76838,1.9867,2.1716,3.3225,5.688,6.1437,7.0674,7.8919,10.169,10.691,11.204,8.23,5.7244,3.2949,2.4173,3.0612,1.5724,1.1476,0.96712,0.40876,0.40121,0.25214,0.41224,0.070916,0.24081,0.29178,0.54264,0.16748,0.97812,0.26063,0.18149,0.61356,0.27409,0.13246,0.2226,0.34938,0.88296,0.18789,0.53259,0,0.53259,0.17753,0.17753,0.40145,0.34726,0.67153,0.35506,0.21576,0.84942,0,0.17753,0,0.17753,0.17753,0,0,0.17753,0.17753,0,0.17753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,11/27/2020,10:52:25 AM,"",0.15934,0.17073,0.22341,0.31364,0.33608,0.36011,0.42474,0.6202,0.66455,0.71208,1.4392,1.567,2.2641,3.6766,4.1361,6.3768,7.0571,8.7653,8.1586,7.2223,6.5545,5.4101,4.5591,4.7161,3.115,2.3525,2.7291,1.9045,1.54,0.70871,0.80903,0.79968,0.32623,0.45789,0.54369,0.17933,1.1328,0.73024,0.78444,0.6615,0.42378,0.44425,0.44691,0.041422,1.3787,0.36216,0.35646,0,0.17823,0,0.17823,0.17823,0.71293,0.35646,0.29781,0.23689,0,0.35646,0.35646,0,0,0.17823,0.17823,0,0.17823,0,0,0.17823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,11/27/2020,10:52:35 AM,"",0.063735,0.068294,0.14061,0.27444,0.29407,0.3151,0.33764,0.36178,0.38766,0.41538,2.1049,2.3165,3.2379,5.0847,5.6449,7.9936,8.5973,9.3841,9.5926,9.7088,5.7842,5.0079,4.3126,3.5103,2.1846,2.4176,1.1269,0.97606,0.69197,0.62544,0.12545,0.27124,0.1124,0.16495,0.48016,0.72412,0.83978,1.104,0.5273,0.29313,0.067313,0.17823,0,0.26108,0.61869,0.53569,0.59142,0.13191,0.35647,0.17823,0.12673,0.76443,0.17823,0.17823,0.29781,0.77159,0.17823,0,0,0.17823,0.5347,0,0,0,0.14486,0.033377,0,0,0,0,0,0,0.17823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
